,relative_path,filename,ext,size_bytes,modified_local,sha256,mime,category,dates_detected,excerpt
38,New folder/ARSAW Gen 2.1 Operation and Maintenance Manual.pdf.pdf (2).lnk,ARSAW Gen 2.1 Operation and Maintenance Manual.pdf.pdf (2).lnk,.lnk,606,2025-10-31 03:05:59,c44bcfc980edf6e9d843b26bbf8f78f18f30e36a9e26975cef1d3ea32ea8a25a,application/octet-stream,Alleged LOTO Violation,[],
39,New folder/ARSAW Gen 2.1 Operation and Maintenance Manual.pdf.pdf (3).lnk,ARSAW Gen 2.1 Operation and Maintenance Manual.pdf.pdf (3).lnk,.lnk,606,2025-10-31 03:05:59,c44bcfc980edf6e9d843b26bbf8f78f18f30e36a9e26975cef1d3ea32ea8a25a,application/octet-stream,Alleged LOTO Violation,[],
40,New folder/ARSAW Gen 2.1 Operation and Maintenance Manual.pdf.pdf (4).lnk,ARSAW Gen 2.1 Operation and Maintenance Manual.pdf.pdf (4).lnk,.lnk,660,2025-10-31 03:05:59,cf83bd2b28c9e279dcc061f7a77b26c172495afcec11434d61a906f5e20728d7,application/octet-stream,Alleged LOTO Violation,[],
41,New folder/ARSAW Gen 2.1 Operation and Maintenance Manual.pdf.pdf.lnk,ARSAW Gen 2.1 Operation and Maintenance Manual.pdf.pdf.lnk,.lnk,660,2025-10-31 03:05:59,cf83bd2b28c9e279dcc061f7a77b26c172495afcec11434d61a906f5e20728d7,application/octet-stream,Alleged LOTO Violation,[],
46,New folder/ARSAW-USS+PARTS+REFERENCE+SHEET.pdf (2).lnk,ARSAW-USS+PARTS+REFERENCE+SHEET.pdf (2).lnk,.lnk,506,2025-10-31 03:05:59,79c16c1473201eb152e615f971202c44129f82acae38d143a8114c0baf0c73d6,application/octet-stream,Alleged LOTO Violation,[],
47,New folder/ARSAW-USS+PARTS+REFERENCE+SHEET.pdf (3).lnk,ARSAW-USS+PARTS+REFERENCE+SHEET.pdf (3).lnk,.lnk,506,2025-10-31 03:05:59,79c16c1473201eb152e615f971202c44129f82acae38d143a8114c0baf0c73d6,application/octet-stream,Alleged LOTO Violation,[],
48,New folder/ARSAW-USS+PARTS+REFERENCE+SHEET.pdf (4).lnk,ARSAW-USS+PARTS+REFERENCE+SHEET.pdf (4).lnk,.lnk,560,2025-10-31 03:05:59,93e9f13aabb699363e7be20895e7c60369c82341d0272b56c2614637945066bf,application/octet-stream,Alleged LOTO Violation,[],
49,New folder/ARSAW-USS+PARTS+REFERENCE+SHEET.pdf.lnk,ARSAW-USS+PARTS+REFERENCE+SHEET.pdf.lnk,.lnk,560,2025-10-31 03:05:59,93e9f13aabb699363e7be20895e7c60369c82341d0272b56c2614637945066bf,application/octet-stream,Alleged LOTO Violation,[],
26,New folder/Amazon+Robotics+Semi+Auto+Workstation+ARSAW+Operation+and+Maintenance+Manual+mm+(1).pdf.lnk,Amazon+Robotics+Semi+Auto+Workstation+ARSAW+Operation+and+Maintenance+Manual+mm+(1).pdf.lnk,.lnk,768,2025-10-31 03:05:59,30aadc25b0aa4ff131171823105c71856ce84df2fe5830a7237295010b4b9f27,application/octet-stream,Alleged LOTO Violation,[],
27,New folder/Amazon+Robotics+Semi+Auto+Workstation+ARSAW+Operation+and+Maintenance+Manual+mm+(2).pdf.lnk,Amazon+Robotics+Semi+Auto+Workstation+ARSAW+Operation+and+Maintenance+Manual+mm+(2).pdf.lnk,.lnk,768,2025-10-31 03:05:59,30aadc25b0aa4ff131171823105c71856ce84df2fe5830a7237295010b4b9f27,application/octet-stream,Alleged LOTO Violation,[],
87,New folder/Manual Std ARSAW ST3520 Gen5.0 Revision 01 12222017.pdf (2).lnk,Manual Std ARSAW ST3520 Gen5.0 Revision 01 12222017.pdf (2).lnk,.lnk,668,2025-10-31 03:05:59,77063304af2f62c4b2d73d3e6f52e8d850de3689f674a1c3052f19e200a30f4a,application/octet-stream,Alleged LOTO Violation,[],
88,New folder/Manual Std ARSAW ST3520 Gen5.0 Revision 01 12222017.pdf.lnk,Manual Std ARSAW ST3520 Gen5.0 Revision 01 12222017.pdf.lnk,.lnk,668,2025-10-31 03:05:59,77063304af2f62c4b2d73d3e6f52e8d850de3689f674a1c3052f19e200a30f4a,application/octet-stream,Alleged LOTO Violation,[],
181,New folder/New folder/ARSAW SCHEMATICS.pdf,ARSAW SCHEMATICS.pdf,.pdf,37475889,2025-10-31 03:06:00,a1839931a8551fc8f6c01e09161a601c7cb32c4d7eadd117e571e5da2520a7a2,application/pdf,Alleged LOTO Violation,[],(Document preview not extracted — open file for contents.)
195,New folder/New folder/RME ARSAW TAC 101 - TaBRA.pdf,RME ARSAW TAC 101 - TaBRA.pdf,.pdf,287153,2025-10-31 03:06:00,5984eceeb76696a20b24e79644fc1765c70ec27b7e5871ae44990fa0c9294915,application/pdf,Alleged LOTO Violation,[],(Document preview not extracted — open file for contents.)
