relative_path,filename,ext,size_bytes,modified_local,sha256,mime,category,dates_detected,excerpt
New folder/ARSAW Gen 2.1 Operation and Maintenance Manual.pdf.pdf (2).lnk,ARSAW Gen 2.1 Operation and Maintenance Manual.pdf.pdf (2).lnk,.lnk,606,2025-10-31 03:05:59,c44bcfc980edf6e9d843b26bbf8f78f18f30e36a9e26975cef1d3ea32ea8a25a,application/octet-stream,Alleged LOTO Violation,[],
New folder/ARSAW Gen 2.1 Operation and Maintenance Manual.pdf.pdf (3).lnk,ARSAW Gen 2.1 Operation and Maintenance Manual.pdf.pdf (3).lnk,.lnk,606,2025-10-31 03:05:59,c44bcfc980edf6e9d843b26bbf8f78f18f30e36a9e26975cef1d3ea32ea8a25a,application/octet-stream,Alleged LOTO Violation,[],
New folder/ARSAW Gen 2.1 Operation and Maintenance Manual.pdf.pdf (4).lnk,ARSAW Gen 2.1 Operation and Maintenance Manual.pdf.pdf (4).lnk,.lnk,660,2025-10-31 03:05:59,cf83bd2b28c9e279dcc061f7a77b26c172495afcec11434d61a906f5e20728d7,application/octet-stream,Alleged LOTO Violation,[],
New folder/ARSAW Gen 2.1 Operation and Maintenance Manual.pdf.pdf.lnk,ARSAW Gen 2.1 Operation and Maintenance Manual.pdf.pdf.lnk,.lnk,660,2025-10-31 03:05:59,cf83bd2b28c9e279dcc061f7a77b26c172495afcec11434d61a906f5e20728d7,application/octet-stream,Alleged LOTO Violation,[],
New folder/ARSAW-USS+PARTS+REFERENCE+SHEET.pdf (2).lnk,ARSAW-USS+PARTS+REFERENCE+SHEET.pdf (2).lnk,.lnk,506,2025-10-31 03:05:59,79c16c1473201eb152e615f971202c44129f82acae38d143a8114c0baf0c73d6,application/octet-stream,Alleged LOTO Violation,[],
New folder/ARSAW-USS+PARTS+REFERENCE+SHEET.pdf (3).lnk,ARSAW-USS+PARTS+REFERENCE+SHEET.pdf (3).lnk,.lnk,506,2025-10-31 03:05:59,79c16c1473201eb152e615f971202c44129f82acae38d143a8114c0baf0c73d6,application/octet-stream,Alleged LOTO Violation,[],
New folder/ARSAW-USS+PARTS+REFERENCE+SHEET.pdf (4).lnk,ARSAW-USS+PARTS+REFERENCE+SHEET.pdf (4).lnk,.lnk,560,2025-10-31 03:05:59,93e9f13aabb699363e7be20895e7c60369c82341d0272b56c2614637945066bf,application/octet-stream,Alleged LOTO Violation,[],
New folder/ARSAW-USS+PARTS+REFERENCE+SHEET.pdf.lnk,ARSAW-USS+PARTS+REFERENCE+SHEET.pdf.lnk,.lnk,560,2025-10-31 03:05:59,93e9f13aabb699363e7be20895e7c60369c82341d0272b56c2614637945066bf,application/octet-stream,Alleged LOTO Violation,[],
New folder/Amazon+Robotics+Semi+Auto+Workstation+ARSAW+Operation+and+Maintenance+Manual+mm+(1).pdf.lnk,Amazon+Robotics+Semi+Auto+Workstation+ARSAW+Operation+and+Maintenance+Manual+mm+(1).pdf.lnk,.lnk,768,2025-10-31 03:05:59,30aadc25b0aa4ff131171823105c71856ce84df2fe5830a7237295010b4b9f27,application/octet-stream,Alleged LOTO Violation,[],
New folder/Amazon+Robotics+Semi+Auto+Workstation+ARSAW+Operation+and+Maintenance+Manual+mm+(2).pdf.lnk,Amazon+Robotics+Semi+Auto+Workstation+ARSAW+Operation+and+Maintenance+Manual+mm+(2).pdf.lnk,.lnk,768,2025-10-31 03:05:59,30aadc25b0aa4ff131171823105c71856ce84df2fe5830a7237295010b4b9f27,application/octet-stream,Alleged LOTO Violation,[],
New folder/Manual Std ARSAW ST3520 Gen5.0 Revision 01 12222017.pdf (2).lnk,Manual Std ARSAW ST3520 Gen5.0 Revision 01 12222017.pdf (2).lnk,.lnk,668,2025-10-31 03:05:59,77063304af2f62c4b2d73d3e6f52e8d850de3689f674a1c3052f19e200a30f4a,application/octet-stream,Alleged LOTO Violation,[],
New folder/Manual Std ARSAW ST3520 Gen5.0 Revision 01 12222017.pdf.lnk,Manual Std ARSAW ST3520 Gen5.0 Revision 01 12222017.pdf.lnk,.lnk,668,2025-10-31 03:05:59,77063304af2f62c4b2d73d3e6f52e8d850de3689f674a1c3052f19e200a30f4a,application/octet-stream,Alleged LOTO Violation,[],
New folder/New folder/ARSAW SCHEMATICS.pdf,ARSAW SCHEMATICS.pdf,.pdf,37475889,2025-10-31 03:06:00,a1839931a8551fc8f6c01e09161a601c7cb32c4d7eadd117e571e5da2520a7a2,application/pdf,Alleged LOTO Violation,[],(Document preview not extracted — open file for contents.)
New folder/New folder/RME ARSAW TAC 101 - TaBRA.pdf,RME ARSAW TAC 101 - TaBRA.pdf,.pdf,287153,2025-10-31 03:06:00,5984eceeb76696a20b24e79644fc1765c70ec27b7e5871ae44990fa0c9294915,application/pdf,Alleged LOTO Violation,[],(Document preview not extracted — open file for contents.)
New folder/New folder/RME Complex Jam Awareness 1-10-24.pdf,RME Complex Jam Awareness 1-10-24.pdf,.pdf,787408,2025-10-31 03:06:00,8bce9f5df75ac84b8d2bb92a358f0051422bd4e34a724001072994a4513e4d55,application/pdf,Alleged LOTO Violation,[],(Document preview not extracted — open file for contents.)
New folder/New folder/RME Complex Jam Update 2-14-24.pdf,RME Complex Jam Update 2-14-24.pdf,.pdf,1239005,2025-10-31 03:06:00,5abeabe9210f06850fd45b7d9bab3a6f1ddc92accd7a53ea01eafb3d00c72718,application/pdf,Alleged LOTO Violation,[],(Document preview not extracted — open file for contents.)
New folder/New folder/NA+-+Peak+Q4+2025+-+RME+Code+Freeze+Announcement.msg,NA+-+Peak+Q4+2025+-+RME+Code+Freeze+Announcement.msg,.msg,732672,2025-10-31 03:06:00,99e4666675d7eaef4221506313956162257d5c929e8ed4fa183a8149c7352998,application/octet-stream,Code Freeze Escalation,[],
New folder/appeal.pdf,appeal.pdf,.pdf,598171,2025-10-31 03:05:59,c8b1ea5c67cb39378dc39dcbda86a1186cc95323a8cf299f3220e8848eccb513,application/pdf,Disciplinary Action & Appeal,[],(Document preview not extracted — open file for contents.)
New folder/appeal.pdf - Shortcut.lnk,appeal.pdf - Shortcut.lnk,.lnk,1153,2025-10-31 03:05:59,d448e6a288435a36ae6cc7c76ff3435da58656468f9103f4bb649d8a92026edc,application/octet-stream,Disciplinary Action & Appeal,[],
New folder/01_Amazon_On_Notice_Letter.txt,01_Amazon_On_Notice_Letter.txt,.txt,1281,2025-10-31 03:05:59,39562398bdb2d537d0f5204b69c09773ffeabfbb9a4a8d5831ae6feb096a6b03,text/plain,Security & Address Concerns,[],"To: Amazon Corporate / WHS Department
Subject: Formal Notification of PPE Noncompliance and OSHA Escalation

Dear Amazon WHS Leadership,

This letter is to formally notify Amazon of what appears to be ongoing and systemic violations of OSHA workplace safety requirements under 29 CFR 1910.132. I am reporting the following specific compliance issues:

1. **Mandated PPE purchases through Zappos**, a company-preferred vendor.
2. **Partial financial reimbursement**, requiring employees to pay out-of-pocket for required flame-resistant (FR) safety gear.
3. **Lack of laundering services**, despite the critical nature of FR garment maintenance.
4. **No clear provision of on-site changing rooms or gear lockers**, despite expectation of daily wear/rotation.
5. **No alternative to ordering gear**, effectively mandating purchases and removing worker autonomy.

These actions constitute a transfer of legal and financial liability onto the worker and may represent a pattern of corporate negligence.

I am filing a formal complaint with OSHA and requesting immediate on-site review. Any retaliation, delay, or coercion will be interpreted as further grounds for federal whistleblower protection.

Sinc…"
