exhibit_id,title,n_messages,any_ethics,any_loto,any_rme,any_policy,any_legal,last_date,score
E-020,RE: [EXTERNAL] Amazon WHS Memo - Case # 20250724-1576125,8,True,True,True,True,True,2025-07-25 10:26:16-05:00,19.19722457733622
E-032,FW: [EXTERNAL] Case 20250724-1576125: Closure Notification [ ref:!00D3t02mKvO.!500Ki07iPtP:ref ],2,True,True,True,True,True,2025-08-01 06:57:39-05:00,18.09861228866811
E-019,[EXTERNAL] Submission of Whistleblower Packet - Systemic Risk Logging and Preemptive Record,2,True,True,True,True,True,2025-07-24 07:12:21-05:00,18.09861228866811
E-033,RE: [EXTERNAL] Formal Complaint - Amazon PPE Safety Noncompliance (29 CFR 1910.132),1,True,True,True,True,True,2025-08-05 08:36:55-05:00,17.693147180559944
E-099,Re: Formal Escalation: Code Freeze Policy Violation / Managerial Misconduct / RME-PMO Synchronization Failure,7,True,True,True,True,False,2025-10-15 08:42:05-05:00,16.079441541679834
E-111,HR - APPEAL,2,True,True,True,True,False,2025-10-27 01:33:32-05:00,15.09861228866811
E-117,"NACF WHS RME Bi-Weekly Report - October 17, 2025",2,True,True,True,True,False,2025-10-17 19:16:18-05:00,15.09861228866811
E-110,Example -,1,True,True,True,True,False,2025-10-15 07:15:01-05:00,14.693147180559945
E-068,Safety Incident and Related Concerns – A05 SRBS Fault / Lack of Response,1,True,True,True,True,False,2025-10-02 20:13:41-05:00,14.693147180559945
E-021,[EXTERNAL] NACF Change Management.,2,False,True,True,True,True,2025-07-25 13:41:26-05:00,13.09861228866811
E-054,Re: Warm Intro for AWS Info,5,False,True,True,False,True,2025-09-29 12:01:05-05:00,11.791759469228055
E-098,The Sentinel Framework,2,True,False,True,True,False,2025-10-07 12:57:57-05:00,11.09861228866811
E-069,RE: Follow-up Concern: Management Conduct & Impact on Safety/Operations,5,False,True,True,True,False,2025-10-03 10:43:44-05:00,10.791759469228055
E-109,what?,1,False,True,True,True,False,2025-10-15 06:52:28-05:00,9.693147180559945
E-108,This seemed useful - but I don't know ,1,False,True,True,True,False,2025-10-15 06:09:45-05:00,9.693147180559945
